time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1555891200,0.183909000000004,0.328695824169427,1.13437337580313,-0.607070935803129,711656.530022252,474394.227912939,514634.359343338,349956.358206605,572174.189796249,143.513378611329,1191382.0767174,170886232.119548,2.69975700903169E+022,4.55950508845642E+019,1453170.36175297,7605899681.55484
1555977600,0.438272400000002,0.401742765229532,0.931341276969671,-0.497320836969671,712374.797290933,469181.641019677,520787.74855364,354454.656714495,572312.700742385,138.510946136542,1203088.49693806,166301283.915994,2.69980118920775E+022,4.38504961782798E+019,1600197.82530411,8506842788.81582
1556064000,-0.3545844,0.221248807915072,0.905597810241173,-0.564966410241174,742903.925056218,492085.888107009,543458.885180251,369576.355493678,572455.66424377,142.963501384444,1208784.41439383,172648289.567631,2.69983733662452E+022,4.53322241458653E+019,1678121.39083879,8994707687.7237
1556150400,0.0577133999999946,0.198510661021421,0.906099702158838,-0.561969642158839,744925.756864179,490395.362996644,549588.360602024,373356.654494827,572598.634381266,142.970137496363,1210735.58380474,172965103.464426,2.6998669117837E+022,4.5271819755708E+019,1680550.58662918,9038850999.94009
1556236800,-0.668224800000001,-0.0400745500733835,0.942190902679851,-0.693116082679852,749323.437434328,492396.751542708,557583.38594711,375214.899132132,572743.064493763,144.430112497024,1218872.87922375,175985829.561803,2.69989110964121E+022,4.57678525273974E+019,1646446.16720095,8827479218.97387
1556323200,-0.142332599999999,-0.0759193591509499,0.92536239665375,-0.718908576653752,724732.266991723,474430.069444034,539992.588502181,363770.190199017,572886.143676715,143.079182952111,1210043.34577497,173139775.277839,2.69991090788826E+022,4.54464247951433E+019,1475708.41271639,7900083134.81331
1556409600,0.0746376000000026,-0.0394983847598673,0.88943965689872,-0.721664056898721,701034.036629592,456416.42045421,522851.936047239,352563.973799195,573032.844826404,146.701149688091,1167776.25446284,170631564.863686,2.69992710645403E+022,4.62743475596627E+019,1363858.21432518,7291258422.98717
1556496000,-0.342843000000002,-0.136208678439892,0.872243732398778,-0.76799757239878,717841.120878757,467100.525826172,531970.129493196,357535.433108433,573182.509403421,149.664577017529,1174229.22883268,175268120.524834,2.69994035982603E+022,4.71335570942695E+019,1323701.36869072,7060355940.20379
1556582400,0.201076799999997,-0.0505111005417306,0.843407405135255,-0.763549025135256,739589.280718983,484747.521130504,545119.196858069,365984.263452354,573330.416784617,147.90738119616,1196200.43397998,176366629.520319,2.69995120349402E+022,4.6563819440766E+019,1423054.64387528,7575353616.27408
1556668800,-2.0265342,-0.65542853680687,1.14445291382765,-1.27000861382765,744319.229679168,487503.971834049,548806.797429329,370961.851915562,573482.522823778,152.106039160494,1183602.3976051,179336664.334806,2.69996007558602E+022,4.80976704515358E+019,1375289.17804802,7333655380.45881
1556755200,0.152760600000006,-0.489968621023801,1.13566435741754,-1.27057741741753,752798.642464774,495075.431500585,555361.925169451,376679.151567278,573640.427764909,157.904941131314,1168558.60001682,183558819.54666,2.69996733457038E+022,4.9898094005802E+019,1304181.84720185,6976999472.79996
1556841600,0.659025600000001,-0.201178689928564,1.1937390996948,-1.28425845969479,762021.980198451,502373.898500479,566277.39332046,382288.94219141,573797.25908038,156.831315471075,1179402.48853051,184127470.17454,2.6999732737394E+022,4.93711678229289E+019,1297243.80576473,7024792751.99106
1556928000,0.393471600000002,-0.0453669281233702,1.20240655238452,-1.15921285238452,743523.256526006,488777.18968221,555734.049080376,376315.134520244,573949.57561122,152.31653083997,1180924.08565719,179156258.870078,2.73634176942315E+022,4.82127736733055E+019,1222260.30322759,6677080505.62723
1557014400,0.674173799999998,0.167176695171787,1.26954280553485,-1.15940266553485,720667.573521277,472492.246103626,538438.221974853,365515.2918802,574097.652772817,148.077161596339,1183721.19481889,174641258.348246,2.76609781134621E+022,4.72649966417954E+019,1138405.63865189,6263828746.74395
1557100800,0.955903199999999,0.426448568776917,1.37112874454624,-1.18130632454624,729502.37833559,479632.201357513,544730.545252153,370078.147901982,574246.261359577,148.608586760641,1190715.05825338,176442903.012201,2.79044366382872E+022,4.77622699796508E+019,1142006.25537803,6330793872.27409
1557187200,0.590617200000003,0.527887374453842,1.39430295067021,-1.1834250906702,734927.036820028,480065.437474328,550932.62793358,373706.484647076,574390.941112381,144.679752804161,1204762.71981648,173641121.373619,2.81036299767804E+022,4.67145845288052E+019,1215213.57950914,6841746330.89674
1557273600,0.571340999999994,0.605041488189505,1.43016639634868,-1.17915459634868,753908.484670932,493792.812478996,566321.604672929,384867.669256698,574536.951819221,146.010706839768,1211728.3066441,176424038.214779,2.82666063446385E+022,4.73119327962951E+019,1227139.89735061,6972799788.38411
1557360000,0.533219399999996,0.656615581245957,1.3539875348647,-1.1523481148647,767035.487458036,501093.392028269,575911.676550578,391803.729391844,574683.68785209,146.736032868901,1220268.56967851,178675115.448456,2.83999506456133E+022,4.78006722878778E+019,1232386.53110131,7094745038.85205
1557446400,0.586341599999995,0.7149102028376,1.39435379436316,-1.14754073436316,770188.307920211,495276.229841311,583593.189905018,393651.233138782,574826.471878983,142.784026892737,1227398.68137332,174813371.366918,2.85090505282291E+022,4.65641864173546E+019,1255535.56826957,7366012471.74784
1557532800,2.3534112,1.29808143868531,1.83946717949132,-1.35033163949132,771084.4337529,496218.0062338,581798.064467742,395183.190749912,574966.931537349,140.459658366785,1229797.97287188,172352271.482024,2.85983140685511E+022,4.59161525232901E+019,1255985.28387179,7580998716.8537
1557619200,2.2438452,1.74201972256071,2.16414293120342,-1.46901377120343,780830.7185251,508760.914191291,576316.234564516,392384.065159019,575110.58034874,143.648811391006,1230705.52095731,176487629.212565,2.86713478742691E+022,4.70223066099647E+019,1200366.9261705,7436172703.10354
1557705600,2.2117386,2.09551268209513,2.42668720010119,-1.55421142010119,798144.224247809,521350.566156511,589484.191916423,401771.144221016,575258.474830788,147.894482047187,1225742.63255245,180938861.90119,2.87311028062201E+022,4.8654614499062E+019,1286872.02273445,8333523329.34354
1557792000,2.498886,2.47174855807783,2.72513809632898,-1.56731527632898,817099.456202753,529740.281400782,604008.338840709,411604.027089922,575407.115770644,148.640939856789,1226641.6299831,182052603.737337,2.87799932050892E+022,4.90810482265053E+019,1352962.69507437,9214464133.81245
1557878400,1.7402862,2.54969918388186,2.85242518840795,-1.52634508840795,828082.100529525,530352.048418821,617080.822687853,418459.8403463,575555.821994163,148.706223519191,1228656.9748672,182483253.603276,2.88199944405275E+022,4.90663121853225E+019,1500887.91496726,10708032996.0685
1557964800,2.86864379999999,2.95540351408516,3.13918712449297,-1.45942016449297,837951.718615066,531980.039615399,628915.945835516,424542.051192427,575704.036177043,148.214182879338,1231677.0043434,182360662.40268,2.8852722724068E+022,4.90542554243548E+019,1489166.43719351,10851726411.8965
